x_din,y_din
15.2-27-10,15.2-1-7
3.7-21-1,6.68-73-2
6.68-73-2,3.7-21-1
3.1-49-1,3.1-57-5
3.1-57-5,3.1-49-1
3.26-11-1,3.9-71-1
3.9-71-1,3.26-11-1
3.8-2-7,3.8-2-3
3.8-2-3,3.8-2-7
3.27-42-1,3.27-43-1
3.27-43-1,3.27-42-1
15.2-1-7,15.2-27-10
3.9-7-2,6.66-94-1
3.9-7-2,6.66-94-1
3.9-7-2,6.66-94-1
6.66-94-1,3.7-89-2
6.66-94-1,3.7-89-2
6.66-94-1,3.7-89-2
6.66-94-1,3.7-89-2
3.7-23-3,3.7-89-1
3.7-23-3,3.7-89-1
3.7-23-3,3.7-89-1
3.8-2-7,3.9-7-2
3.7-21-2,3.7-23-3
3.7-21-2,3.7-23-3
3.7-89-1,3.7-89-2
3.7-89-1,3.7-89-2
3.7-89-1,3.7-89-2
